phase,1D,2D,3D
8.391959798994974573e-01,8.651307628465739752e-01,8.656693586174051269e-01,8.658117784545793505e-01
8.442211055276381826e-01,8.693374379615462777e-01,8.698407693463046098e-01,8.699311735373846943e-01
8.492462311557789079e-01,8.735431798902535405e-01,8.740143058175930957e-01,8.740522620611681504e-01
8.542713567839196331e-01,8.777527694695730354e-01,8.781904171574287377e-01,8.781751232069755497e-01
8.592964824120603584e-01,8.819658447330218642e-01,8.823682298913524402e-01,8.822991862934895790e-01
8.643216080402009727e-01,8.861824186755482557e-01,8.865479752440084127e-01,8.864247650428116465e-01
8.693467336683416979e-01,8.904014762732681554e-01,8.907291695362982153e-01,8.905513463894865200e-01
8.743718592964824232e-01,8.946233843055160229e-01,8.949115413798530705e-01,8.946792754211860821e-01
8.793969849246231485e-01,8.988473892693524814e-01,8.990957372346513043e-01,8.988075604257091955e-01
8.844221105527638738e-01,9.030732524886575519e-01,9.032806150308813065e-01,9.029370516077246389e-01
8.894472361809044880e-01,9.073008850837340766e-01,9.074667698526870385e-01,9.070666034843997139e-01
8.944723618090452133e-01,9.115293362909702157e-01,9.116534337956592182e-01,9.111974570479970392e-01
8.994974874371859386e-01,9.157589704884949722e-01,9.158404932239160301e-01,9.153284735679985129e-01
9.045226130653266639e-01,9.199889193181378655e-01,9.200279261139900910e-01,9.194606326580361255e-01
9.095477386934673891e-01,9.242190922651345453e-01,9.242150158216058120e-01,9.235930801863632134e-01
9.145728643216080034e-01,9.284492745477447295e-01,9.284021860652065250e-01,9.277268601367397727e-01
9.195979899497487287e-01,9.326786063457839226e-01,9.325884436824888324e-01,9.318616706754115908e-01
9.246231155778894539e-01,9.369074363810783179e-01,9.367741395500817081e-01,9.360050489601337009e-01
9.296482412060301792e-01,9.411347721841362146e-01,9.409589180588373569e-01,9.401640140252416344e-01
9.346733668341709045e-01,9.453606950361526096e-01,9.451423760946566777e-01,9.443392395686736052e-01
9.396984924623115187e-01,9.495848414540262183e-01,9.493249955425523412e-01,9.485304243584371520e-01
9.447236180904522440e-01,9.538064681233942022e-01,9.535056305869941129e-01,9.527376198805339591e-01
9.497487437185929693e-01,9.580258953652627252e-01,9.576852074236239520e-01,9.569610276281061978e-01
9.547738693467336946e-01,9.622419981394063626e-01,9.618631630281632150e-01,9.612000292911350163e-01
9.597989949748744198e-01,9.664550518059047413e-01,9.660399161359578546e-01,9.654543943768087999e-01
9.648241206030150341e-01,9.706645227213819282e-01,9.702247209780539006e-01,9.697234984290847848e-01
9.698492462311557594e-01,9.748698083991857999e-01,9.744266395095569910e-01,9.740074639395768230e-01
9.748743718592964846e-01,9.790711885853051744e-01,9.786465552789458400e-01,9.783055973083789603e-01
9.798994974874372099e-01,9.832673980527721902e-01,9.828834158022029532e-01,9.826183724444329526e-01
9.849246231155779352e-01,9.874589270626983328e-01,9.871376283944317542e-01,9.869442180424619071e-01
9.899497487437186605e-01,9.916450517989059410e-01,9.914086849316429140e-01,9.912837138572312412e-01
9.949748743718592747e-01,9.958253335700467668e-01,9.956960274785264797e-01,9.956353607201677836e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
